collection_key	scope	sort_index	id	className	title	caption	full	megapixels	sourceOrigin	pricingTier	gallerySrc	imageSrc	metadata_json	media_json	sourceFiles_json	keywords_json	extra_json
"france"	"public"	"0"	"20220506-160631-03403-51426edaac"	"p1"	"Les Invalides, Paris"	"France / 2022-05-06"	"JPG master"	"23.3"	""	""	""	""	"[{\"label\":\"Metadata title\",\"value\":\"Les Invalides, Paris\"},{\"label\":\"Keywords\",\"value\":\"Art, Church, France, Invalides, Museum, Napoleon, Paris, architecture\"},{\"label\":\"Captured\",\"value\":\"2022:05:06 16:06:31\"},{\"label\":\"Camera\",\"value\":\"NIKON CORPORATION NIKON D500\"},{\"label\":\"Lens\",\"value\":\"Tokina atx-i 11-20mm F2.8 CF\"},{\"label\":\"Exposure\",\"value\":\"1/400, f/10.0, ISO 100\"},{\"label\":\"Focal length\",\"value\":\"11.0 mm / 16 mm equivalent\"},{\"label\":\"Software\",\"value\":\"Adobe Bridge 2024\"},{\"label\":\"Color profile\",\"value\":\"sRGB IEC61966-2.1\"},{\"label\":\"Original file\",\"value\":\"20220506 160631 03403.jpg\"},{\"label\":\"Original size\",\"value\":\"JPEG / 8489 x 2747 / 23.3 MP\"},{\"label\":\"Preview file\",\"value\":\"20220506-160631-03403-51426edaac_1800.jpg / 1800 x 582 / JPG\"}]"	"{\"type\":\"photo\",\"sourcePolicy\":\"developed-master\",\"publicPreview\":{\"allowed\":true,\"galleryKey\":\"expo/20220506-160631-03403-51426edaac_900.jpg\",\"detailKey\":\"expo/20220506-160631-03403-51426edaac_1800.jpg\"}}"	"[{\"path\":\"2022/JPG/05/06/20220506 160631 03403.jpg\",\"type\":\"JPG\",\"bytes\":3726705}]"	"[]"	"{}"
"france"	"public"	"1"	"20220506-154558-03388-a887904b4b"	"p2"	"Eglise des Invalides, Paris"	"France / 2022-05-06"	"JPG master"	"18.4"	""	""	""	""	"[{\"label\":\"Metadata title\",\"value\":\"Eglise des Invalides, Paris\"},{\"label\":\"Keywords\",\"value\":\"Art, Church, France, Invalides, Museum, Napoleon, Paris, architecture\"},{\"label\":\"Captured\",\"value\":\"2022:05:06 15:45:58\"},{\"label\":\"Camera\",\"value\":\"NIKON CORPORATION NIKON D500\"},{\"label\":\"Lens\",\"value\":\"Tokina atx-i 11-20mm F2.8 CF\"},{\"label\":\"Exposure\",\"value\":\"1/20, f/2.8, ISO 180\"},{\"label\":\"Focal length\",\"value\":\"11.5 mm / 17 mm equivalent\"},{\"label\":\"Software\",\"value\":\"Adobe Bridge 2024\"},{\"label\":\"Color profile\",\"value\":\"sRGB IEC61966-2.1\"},{\"label\":\"Original file\",\"value\":\"20220506 154558 03388.jpg\"},{\"label\":\"Original size\",\"value\":\"JPEG / 3213 x 5727 / 18.4 MP\"},{\"label\":\"Preview file\",\"value\":\"20220506-154558-03388-a887904b4b_1800.jpg / 1010 x 1800 / JPG\"}]"	"{\"type\":\"photo\",\"sourcePolicy\":\"developed-master\",\"publicPreview\":{\"allowed\":true,\"galleryKey\":\"expo/20220506-154558-03388-a887904b4b_900.jpg\",\"detailKey\":\"expo/20220506-154558-03388-a887904b4b_1800.jpg\"}}"	"[{\"path\":\"2022/JPG/05/06/20220506 154558 03388.jpg\",\"type\":\"JPG\",\"bytes\":1959072}]"	"[]"	"{}"
"france"	"public"	"2"	"20220506-151024-03375-3e4d581417"	"p3"	"20220506 151024 03375"	"France / 2022-05-06"	"JPG master"	"14.1"	""	""	""	""	"[{\"label\":\"Keywords\",\"value\":\"Art, Church, France, Invalides, Museum, Napoleon, Paris, architecture\"},{\"label\":\"Captured\",\"value\":\"2022:05:06 15:10:24\"},{\"label\":\"Camera\",\"value\":\"NIKON CORPORATION NIKON D500\"},{\"label\":\"Lens\",\"value\":\"Tokina atx-i 11-20mm F2.8 CF\"},{\"label\":\"Exposure\",\"value\":\"1/30, f/3.5, ISO 100\"},{\"label\":\"Focal length\",\"value\":\"11.0 mm / 16 mm equivalent\"},{\"label\":\"Software\",\"value\":\"Adobe Bridge 2024\"},{\"label\":\"Color profile\",\"value\":\"sRGB IEC61966-2.1\"},{\"label\":\"Original file\",\"value\":\"20220506 151024 03375.jpg\"},{\"label\":\"Original size\",\"value\":\"JPEG / 4837 x 2909 / 14.1 MP\"},{\"label\":\"Preview file\",\"value\":\"20220506-151024-03375-3e4d581417_1800.jpg / 1800 x 1082 / JPG\"}]"	"{\"type\":\"photo\",\"sourcePolicy\":\"developed-master\",\"publicPreview\":{\"allowed\":true,\"galleryKey\":\"expo/20220506-151024-03375-3e4d581417_900.jpg\",\"detailKey\":\"expo/20220506-151024-03375-3e4d581417_1800.jpg\"}}"	"[{\"path\":\"2022/JPG/05/06/20220506 151024 03375.jpg\",\"type\":\"JPG\",\"bytes\":2774371}]"	"[]"	"{}"
"france"	"public"	"3"	"20220506-145942-03357-6183b42671"	"p4"	"20220506 145942 03357"	"France / 2022-05-06"	"JPG master"	"34.5"	""	""	""	""	"[{\"label\":\"Keywords\",\"value\":\"Art, Church, France, Invalides, Museum, Napoleon, Paris, architecture\"},{\"label\":\"Captured\",\"value\":\"2022:05:06 14:59:42\"},{\"label\":\"Camera\",\"value\":\"NIKON CORPORATION NIKON D500\"},{\"label\":\"Lens\",\"value\":\"Tokina atx-i 11-20mm F2.8 CF\"},{\"label\":\"Exposure\",\"value\":\"1/15, f/2.8, ISO 220\"},{\"label\":\"Focal length\",\"value\":\"11.0 mm / 16 mm equivalent\"},{\"label\":\"Software\",\"value\":\"Adobe Bridge 2024\"},{\"label\":\"Color profile\",\"value\":\"sRGB IEC61966-2.1\"},{\"label\":\"Original file\",\"value\":\"20220506 145942 03357.jpg\"},{\"label\":\"Original size\",\"value\":\"JPEG / 7217 x 4778 / 34.5 MP\"},{\"label\":\"Preview file\",\"value\":\"20220506-145942-03357-6183b42671_1800.jpg / 1800 x 1191 / JPG\"}]"	"{\"type\":\"photo\",\"sourcePolicy\":\"developed-master\",\"publicPreview\":{\"allowed\":true,\"galleryKey\":\"expo/20220506-145942-03357-6183b42671_900.jpg\",\"detailKey\":\"expo/20220506-145942-03357-6183b42671_1800.jpg\"}}"	"[{\"path\":\"2022/JPG/05/06/20220506 145942 03357.jpg\",\"type\":\"JPG\",\"bytes\":2977850}]"	"[]"	"{}"
"france"	"public"	"4"	"20220506-145248-03337-8deb7b57a5"	"p5"	"20220506 145248 03337"	"France / 2022-05-06"	"JPG master"	"19.5"	""	""	""	""	"[{\"label\":\"Keywords\",\"value\":\"Art, Church, France, Invalides, Museum, Napoleon, Paris, architecture\"},{\"label\":\"Captured\",\"value\":\"2022:05:06 14:52:48\"},{\"label\":\"Camera\",\"value\":\"NIKON CORPORATION NIKON D500\"},{\"label\":\"Lens\",\"value\":\"Tokina atx-i 11-20mm F2.8 CF\"},{\"label\":\"Exposure\",\"value\":\"1/80, f/4.5, ISO 100\"},{\"label\":\"Focal length\",\"value\":\"11.0 mm / 16 mm equivalent\"},{\"label\":\"Software\",\"value\":\"Adobe Bridge 2024\"},{\"label\":\"Color profile\",\"value\":\"sRGB IEC61966-2.1\"},{\"label\":\"Original file\",\"value\":\"20220506 145248 03337.jpg\"},{\"label\":\"Original size\",\"value\":\"JPEG / 3609 x 5413 / 19.5 MP\"},{\"label\":\"Preview file\",\"value\":\"20220506-145248-03337-8deb7b57a5_1800.jpg / 1200 x 1800 / JPG\"}]"	"{\"type\":\"photo\",\"sourcePolicy\":\"developed-master\",\"publicPreview\":{\"allowed\":true,\"galleryKey\":\"expo/20220506-145248-03337-8deb7b57a5_900.jpg\",\"detailKey\":\"expo/20220506-145248-03337-8deb7b57a5_1800.jpg\"}}"	"[{\"path\":\"2022/JPG/05/06/20220506 145248 03337.jpg\",\"type\":\"JPG\",\"bytes\":3887416}]"	"[]"	"{}"
"france"	"public"	"5"	"20220506-145149-03333-e92838da6f"	"p1"	"20220506 145149 03333"	"France / 2022-05-06"	"JPG master"	"24.6"	""	""	""	""	"[{\"label\":\"Keywords\",\"value\":\"Art, Church, France, Invalides, Museum, Napoleon, Paris, architecture\"},{\"label\":\"Captured\",\"value\":\"2022:05:06 14:51:49\"},{\"label\":\"Camera\",\"value\":\"NIKON CORPORATION NIKON D500\"},{\"label\":\"Lens\",\"value\":\"Tokina atx-i 11-20mm F2.8 CF\"},{\"label\":\"Exposure\",\"value\":\"1/15, f/2.8, ISO 110\"},{\"label\":\"Focal length\",\"value\":\"11.0 mm / 16 mm equivalent\"},{\"label\":\"Software\",\"value\":\"Adobe Bridge 2024\"},{\"label\":\"Color profile\",\"value\":\"sRGB IEC61966-2.1\"},{\"label\":\"Original file\",\"value\":\"20220506 145149 03333.jpg\"},{\"label\":\"Original size\",\"value\":\"JPEG / 3737 x 6589 / 24.6 MP\"},{\"label\":\"Preview file\",\"value\":\"20220506-145149-03333-e92838da6f_1800.jpg / 1021 x 1800 / JPG\"}]"	"{\"type\":\"photo\",\"sourcePolicy\":\"developed-master\",\"publicPreview\":{\"allowed\":true,\"galleryKey\":\"expo/20220506-145149-03333-e92838da6f_900.jpg\",\"detailKey\":\"expo/20220506-145149-03333-e92838da6f_1800.jpg\"}}"	"[{\"path\":\"2022/JPG/05/06/20220506 145149 03333.jpg\",\"type\":\"JPG\",\"bytes\":2804431}]"	"[]"	"{}"
"france"	"public"	"6"	"20220506-145037-03329-9100ee8314"	"p2"	"20220506 145037 03329"	"France / 2022-05-06"	"JPG master"	"24.9"	""	""	""	""	"[{\"label\":\"Keywords\",\"value\":\"Art, Church, France, Invalides, Museum, Napoleon, Paris, architecture\"},{\"label\":\"Captured\",\"value\":\"2022:05:06 14:50:37\"},{\"label\":\"Camera\",\"value\":\"NIKON CORPORATION NIKON D500\"},{\"label\":\"Lens\",\"value\":\"Tokina atx-i 11-20mm F2.8 CF\"},{\"label\":\"Exposure\",\"value\":\"1/15, f/2.8, ISO 160\"},{\"label\":\"Focal length\",\"value\":\"11.0 mm / 16 mm equivalent\"},{\"label\":\"Software\",\"value\":\"Adobe Bridge 2024\"},{\"label\":\"Color profile\",\"value\":\"sRGB IEC61966-2.1\"},{\"label\":\"Original file\",\"value\":\"20220506 145037 03329.jpg\"},{\"label\":\"Original size\",\"value\":\"JPEG / 4329 x 5747 / 24.9 MP\"},{\"label\":\"Preview file\",\"value\":\"20220506-145037-03329-9100ee8314_1800.jpg / 1356 x 1800 / JPG\"}]"	"{\"type\":\"photo\",\"sourcePolicy\":\"developed-master\",\"publicPreview\":{\"allowed\":true,\"galleryKey\":\"expo/20220506-145037-03329-9100ee8314_900.jpg\",\"detailKey\":\"expo/20220506-145037-03329-9100ee8314_1800.jpg\"}}"	"[{\"path\":\"2022/JPG/05/06/20220506 145037 03329.jpg\",\"type\":\"JPG\",\"bytes\":3912364}]"	"[]"	"{}"
"france"	"public"	"7"	"20220506-144820-03318-ab367598c9"	"p3"	"20220506 144820 03318"	"France / 2022-05-06"	"JPG master"	"29.7"	""	""	""	""	"[{\"label\":\"Keywords\",\"value\":\"Art, Church, France, Invalides, Museum, Napoleon, Paris, architecture\"},{\"label\":\"Captured\",\"value\":\"2022:05:06 14:48:20\"},{\"label\":\"Camera\",\"value\":\"NIKON CORPORATION NIKON D500\"},{\"label\":\"Lens\",\"value\":\"Tokina atx-i 11-20mm F2.8 CF\"},{\"label\":\"Exposure\",\"value\":\"1/50, f/3.5, ISO 100\"},{\"label\":\"Focal length\",\"value\":\"11.0 mm / 16 mm equivalent\"},{\"label\":\"Software\",\"value\":\"Adobe Bridge 2024\"},{\"label\":\"Color profile\",\"value\":\"sRGB IEC61966-2.1\"},{\"label\":\"Original file\",\"value\":\"20220506 144820 03318.jpg\"},{\"label\":\"Original size\",\"value\":\"JPEG / 6097 x 4876 / 29.7 MP\"},{\"label\":\"Preview file\",\"value\":\"20220506-144820-03318-ab367598c9_1800.jpg / 1800 x 1439 / JPG\"}]"	"{\"type\":\"photo\",\"sourcePolicy\":\"developed-master\",\"publicPreview\":{\"allowed\":true,\"galleryKey\":\"expo/20220506-144820-03318-ab367598c9_900.jpg\",\"detailKey\":\"expo/20220506-144820-03318-ab367598c9_1800.jpg\"}}"	"[{\"path\":\"2022/JPG/05/06/20220506 144820 03318.jpg\",\"type\":\"JPG\",\"bytes\":3581085}]"	"[]"	"{}"
"france"	"public"	"8"	"20220506-144147-03314-497e126421"	"p4"	"Les Invalides, Paris"	"France / 2022-05-06"	"JPG master"	"32.9"	""	""	""	""	"[{\"label\":\"Metadata title\",\"value\":\"Les Invalides, Paris\"},{\"label\":\"Keywords\",\"value\":\"Art, Church, France, Invalides, Museum, Napoleon, Paris, architecture\"},{\"label\":\"Captured\",\"value\":\"2022:05:06 14:41:47\"},{\"label\":\"Camera\",\"value\":\"NIKON CORPORATION NIKON D500\"},{\"label\":\"Lens\",\"value\":\"Tokina atx-i 11-20mm F2.8 CF\"},{\"label\":\"Exposure\",\"value\":\"1/320, f/9.0, ISO 100\"},{\"label\":\"Focal length\",\"value\":\"15.0 mm / 22 mm equivalent\"},{\"label\":\"Software\",\"value\":\"Adobe Bridge 2024\"},{\"label\":\"Color profile\",\"value\":\"sRGB IEC61966-2.1\"},{\"label\":\"Original file\",\"value\":\"20220506 144147 03314.jpg\"},{\"label\":\"Original size\",\"value\":\"JPEG / 11219 x 2935 / 32.9 MP\"},{\"label\":\"Preview file\",\"value\":\"20220506-144147-03314-497e126421_1800.jpg / 1800 x 471 / JPG\"}]"	"{\"type\":\"photo\",\"sourcePolicy\":\"developed-master\",\"publicPreview\":{\"allowed\":true,\"galleryKey\":\"expo/20220506-144147-03314-497e126421_900.jpg\",\"detailKey\":\"expo/20220506-144147-03314-497e126421_1800.jpg\"}}"	"[{\"path\":\"2022/JPG/05/06/20220506 144147 03314.jpg\",\"type\":\"JPG\",\"bytes\":4604077}]"	"[]"	"{}"
"france"	"public"	"9"	"20220506-141127-03238-6a809a3d2d"	"p5"	"20220506 141127 03238"	"France / 2022-05-06"	"JPG master"	"31.4"	""	""	""	""	"[{\"label\":\"Keywords\",\"value\":\"Art, Church, France, Invalides, Museum, Napoleon, Paris, architecture\"},{\"label\":\"Captured\",\"value\":\"2022:05:06 14:11:27\"},{\"label\":\"Camera\",\"value\":\"NIKON CORPORATION NIKON D500\"},{\"label\":\"Lens\",\"value\":\"Tokina atx-i 11-20mm F2.8 CF\"},{\"label\":\"Exposure\",\"value\":\"1/640, f/13.0, ISO 100\"},{\"label\":\"Focal length\",\"value\":\"20.0 mm / 30 mm equivalent\"},{\"label\":\"Software\",\"value\":\"Adobe Bridge 2024\"},{\"label\":\"Color profile\",\"value\":\"sRGB IEC61966-2.1\"},{\"label\":\"Original file\",\"value\":\"20220506 141127 03238.jpg\"},{\"label\":\"Original size\",\"value\":\"JPEG / 9074 x 3458 / 31.4 MP\"},{\"label\":\"Preview file\",\"value\":\"20220506-141127-03238-6a809a3d2d_1800.jpg / 1800 x 686 / JPG\"}]"	"{\"type\":\"photo\",\"sourcePolicy\":\"developed-master\",\"publicPreview\":{\"allowed\":true,\"galleryKey\":\"expo/20220506-141127-03238-6a809a3d2d_900.jpg\",\"detailKey\":\"expo/20220506-141127-03238-6a809a3d2d_1800.jpg\"}}"	"[{\"path\":\"2022/JPG/05/06/20220506 141127 03238.jpg\",\"type\":\"JPG\",\"bytes\":4285119}]"	"[]"	"{}"
